mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__gamma,param_clf__kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.012576421101888021,0.00024470422658931236,0.006627957026163737,0.0014943131954446168,0.1,scale,rbf,"{'clf__C': 0.1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.8553459119496856,0.8421052631578947,0.8689655172413793,0.8554722307829866,0.010966016587411384,11
0.0093687375386556,4.7897943766857774e-05,0.0045994917551676435,6.421751305823637e-05,0.1,scale,linear,"{'clf__C': 0.1, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}",0.9481481481481482,0.9242424242424242,0.916030534351145,0.9294737022472391,0.013623753305069973,6
0.01221776008605957,6.750684991675698e-05,0.005506277084350586,2.04845824470621e-05,0.1,auto,rbf,"{'clf__C': 0.1, 'clf__gamma': 'auto', 'clf__kernel': 'rbf'}",0.7734806629834254,0.7821229050279329,0.8235294117647058,0.7930443265920214,0.021843037035148935,12
0.009614864985148111,0.000619977746933972,0.004591544469197591,1.6450689993458572e-05,0.1,auto,linear,"{'clf__C': 0.1, 'clf__gamma': 'auto', 'clf__kernel': 'linear'}",0.9481481481481482,0.9242424242424242,0.916030534351145,0.9294737022472391,0.013623753305069973,6
0.011223475138346354,0.00016542954869639738,0.005173126856486003,3.3487603663996e-05,1.0,scale,rbf,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.9022556390977443,0.9037037037037037,0.9022556390977443,0.9027383272997307,0.0006826242016467286,9
0.011720975240071615,0.0006774067875809489,0.00450436274210612,3.254236508380593e-05,1.0,scale,linear,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}",0.9496402877697842,0.9481481481481482,0.920863309352518,0.9395505817568167,0.013227930868606859,1
0.010965426762898764,0.00015361785145320052,0.005137205123901367,8.775185738781141e-06,1.0,auto,rbf,"{'clf__C': 1, 'clf__gamma': 'auto', 'clf__kernel': 'rbf'}",0.8970588235294118,0.9051094890510949,0.9022556390977443,0.901474650559417,0.003332742730170174,10
0.012162446975708008,0.0001854691212132574,0.004487752914428711,3.231663947447721e-05,1.0,auto,linear,"{'clf__C': 1, 'clf__gamma': 'auto', 'clf__kernel': 'linear'}",0.9496402877697842,0.9481481481481482,0.920863309352518,0.9395505817568167,0.013227930868606859,1
0.011803070704142252,0.00038357799464764465,0.005057970682779948,6.958129126646578e-05,10.0,scale,rbf,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.9264705882352942,0.8985507246376812,0.9253731343283582,0.9167981490671112,0.012910653869325182,8
0.016229708989461262,0.002627594104914134,0.004484335581461589,2.789961494605596e-05,10.0,scale,linear,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}",0.951048951048951,0.9370629370629371,0.9285714285714286,0.9388944388944389,0.00926734602069645,3
0.010652860005696615,6.978088186557954e-05,0.004913727442423503,8.174787111118135e-05,10.0,auto,rbf,"{'clf__C': 10, 'clf__gamma': 'auto', 'clf__kernel': 'rbf'}",0.9411764705882353,0.9090909090909091,0.9411764705882353,0.9304812834224597,0.015125278741958244,5
0.015302022298177084,0.0018061662247448854,0.00450587272644043,4.0727495110440464e-05,10.0,auto,linear,"{'clf__C': 10, 'clf__gamma': 'auto', 'clf__kernel': 'linear'}",0.951048951048951,0.9370629370629371,0.9285714285714286,0.9388944388944389,0.00926734602069645,3
