mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__learning_rate,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.0623927116394043,0.00022546961528354767,0.004583835601806641,4.743551188507191e-05,0.05,2,100,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 100}",0.9710144927536232,0.9558823529411765,0.9242424242424242,0.9503797566457414,0.019487013157433435,3
0.11785507202148438,0.0006220430740488887,0.004677613576253255,5.1184840642058524e-05,0.05,2,200,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 200}",0.9710144927536232,0.9496402877697842,0.9242424242424242,0.9482990682552771,0.01911815455779564,4
0.07923507690429688,0.0006534575267764924,0.004632711410522461,3.155122575595192e-05,0.05,3,100,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 100}",0.9640287769784173,0.9481481481481482,0.9323308270676691,0.9481692507314116,0.012940642465383751,6
0.15286914507548013,0.00042930231043693197,0.004843552907307942,7.518678568715144e-05,0.05,3,200,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 200}",0.9640287769784173,0.9635036496350365,0.9242424242424242,0.9505916169519594,0.01863292617947874,1
0.062233527501424156,0.00015436006808803622,0.004586378733317058,2.0686466325958637e-05,0.1,2,100,"{'clf__learning_rate': 0.1, 'clf__max_depth': 2, 'clf__n_estimators': 100}",0.950354609929078,0.9565217391304348,0.9242424242424242,0.9437062577673124,0.013991401699138342,8
0.11981391906738281,0.0026933127896938106,0.004647493362426758,5.168168399969394e-05,0.1,2,200,"{'clf__learning_rate': 0.1, 'clf__max_depth': 2, 'clf__n_estimators': 200}",0.9640287769784173,0.9565217391304348,0.9242424242424242,0.9482643134504255,0.01726030658580306,5
0.08174069722493489,0.002305902075646484,0.004653453826904297,6.256689842785064e-06,0.1,3,100,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 100}",0.9640287769784173,0.9635036496350365,0.9242424242424242,0.9505916169519594,0.01863292617947874,1
0.15477808316548666,0.0008418655195406225,0.004892667134602864,0.00013961673831902925,0.1,3,200,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 200}",0.9640287769784173,0.9496402877697842,0.9242424242424242,0.9459704963302086,0.01644868774736965,7
