mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.14128494262695312,0.00117284903090144,0.008693456649780273,8.264841170685361e-05,,2,200,"{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.8936170212765957,0.8776978417266187,0.8805970149253731,0.8839706259761959,0.006922957365547205,5
0.3458871841430664,0.005918836351163578,0.015111049016316732,0.0002410056368565041,,2,500,"{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 500}",0.8985507246376812,0.8888888888888888,0.8872180451127819,0.891552552879784,0.004995246787084109,1
0.13593856493631998,0.0015461639440490639,0.008864084879557291,0.0005625995609816341,,5,200,"{'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.9130434782608695,0.8592592592592593,0.8939393939393939,0.8887473771531743,0.022262125267436966,2
0.33139316240946454,0.002682121235388334,0.014664888381958008,6.422656082574942e-05,,5,500,"{'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 500}",0.9051094890510949,0.8636363636363636,0.8888888888888888,0.8858782471921157,0.01706464191413087,3
0.12632226943969727,0.0005179389247566483,0.008203506469726562,6.514021439265913e-05,5,2,200,"{'clf__max_depth': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.863013698630137,0.8467153284671532,0.8633093525179856,0.8576794598717585,0.007753751173827201,9
0.30786410967508954,0.0015206019396007758,0.013797442118326822,0.00013057654465784734,5,2,500,"{'clf__max_depth': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 500}",0.8689655172413793,0.8321167883211679,0.8633093525179856,0.8547972193601776,0.016202870402719737,11
0.12584463755289713,0.0005011467540127444,0.008193174997965494,7.609060462456696e-05,5,5,200,"{'clf__max_depth': 5, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.8435374149659864,0.8345323741007195,0.8714285714285714,0.8498327868317591,0.01570681645040818,12
0.3052433331807454,0.0015061033592802188,0.014081954956054688,0.0001093009860465626,5,5,500,"{'clf__max_depth': 5, 'clf__min_samples_split': 5, 'clf__n_estimators': 500}",0.8551724137931035,0.8382352941176471,0.8714285714285714,0.8549454264464407,0.013552049220238251,10
0.13448802630106607,0.0008090619014857621,0.00846719741821289,2.5864478513331032e-05,10,2,200,"{'clf__max_depth': 10, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.9,0.8676470588235294,0.8805970149253731,0.8827480245829675,0.01329532079598783,7
0.33466553688049316,0.006727596696423383,0.014907519022623697,8.902294195224137e-05,10,2,500,"{'clf__max_depth': 10, 'clf__min_samples_split': 2, 'clf__n_estimators': 500}",0.8985507246376812,0.8740740740740741,0.8805970149253731,0.8844072712123762,0.010349400801744213,4
0.13160904248555502,0.00017485759389399626,0.008413155873616537,4.504632174497057e-05,10,5,200,"{'clf__max_depth': 10, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.8857142857142857,0.8592592592592593,0.8888888888888888,0.8779541446208112,0.013282659882725001,8
0.3219765027364095,0.0028954808728544716,0.014232953389485678,8.47647253961786e-05,10,5,500,"{'clf__max_depth': 10, 'clf__min_samples_split': 5, 'clf__n_estimators': 500}",0.8905109489051095,0.8721804511278195,0.8888888888888888,0.8838600963072727,0.008285262148839841,6
